Data,Quantidade(mm)
29/11/41,0
30/11/41,0
01/12/41,17.7
02/12/41,37
03/12/41,0
04/12/41,0
05/12/41,18
06/12/41,0
07/12/41,0
08/12/41,0
09/12/41,7.7
10/12/41,0
11/12/41,0
12/12/41,0
13/12/41,0
14/12/41,0
15/12/41,0
16/12/41,0
17/12/41,0.8
18/12/41,30.6
19/12/41,0.9
20/12/41,0
21/12/41,0
22/12/41,21
23/12/41,0
24/12/41,0
25/12/41,0
26/12/41,0
27/12/41,0
28/12/41,0
29/12/41,16.3
30/12/41,18.5
31/12/41,10.4
01/01/42,0
02/01/42,12
03/01/42,0
04/01/42,30
05/01/42,0
06/01/42,0
07/01/42,12
08/01/42,0
09/01/42,0
10/01/42,12
11/01/42,0.6
12/01/42,0
13/01/42,0
14/01/42,0
15/01/42,0
16/01/42,0
17/01/42,18.9
18/01/42,24
19/01/42,0
20/01/42,0
21/01/42,0
22/01/42,0
23/01/42,0
24/01/42,0
25/01/42,0
26/01/42,20.2
27/01/42,0
28/01/42,0
29/01/42,0
30/01/42,0
31/01/42,32
01/02/42,23
02/02/42,24
03/02/42,1
04/02/42,21.7
05/02/42,0
06/02/42,0
07/02/42,0
08/02/42,0
09/02/42,38.5
10/02/42,31.3
11/02/42,7.6
12/02/42,0
13/02/42,0
14/02/42,0
15/02/42,11.2
16/02/42,0
17/02/42,0.8
18/02/42,0.7
19/02/42,11
20/02/42,0
21/02/42,0
22/02/42,6
23/02/42,10.7
24/02/42,0
25/02/42,0
26/02/42,0
27/02/42,0
28/02/42,0
01/03/42,25
02/03/42,5.7
03/03/42,11
04/03/42,35.2
05/03/42,28.7
06/03/42,44
07/03/42,75
08/03/42,0.8
09/03/42,22
10/03/42,31
11/03/42,34
12/03/42,14
13/03/42,0
14/03/42,0
15/03/42,0
16/03/42,0
17/03/42,6
18/03/42,0
19/03/42,0
20/03/42,0
21/03/42,20.4
22/03/42,28
23/03/42,38.6
24/03/42,0
25/03/42,0
26/03/42,18
27/03/42,0
28/03/42,0
29/03/42,0
30/03/42,0
31/03/42,21
01/04/42,25
02/04/42,0
03/04/42,0
04/04/42,0
05/04/42,26
06/04/42,11.6
07/04/42,0
08/04/42,0
09/04/42,0
10/04/42,0
11/04/42,0
12/04/42,0
13/04/42,0
14/04/42,0
15/04/42,42.4
16/04/42,0
17/04/42,0
18/04/42,0
19/04/42,0
20/04/42,0
21/04/42,0
22/04/42,22.2
23/04/42,0
24/04/42,0
25/04/42,0
26/04/42,0
27/04/42,0
28/04/42,0
29/04/42,0
30/04/42,0
01/05/42,0
02/05/42,0
03/05/42,0
04/05/42,0
05/05/42,0
06/05/42,52
07/05/42,14.7
08/05/42,0
09/05/42,0
10/05/42,0
11/05/42,0
12/05/42,0
13/05/42,0
14/05/42,0
15/05/42,0
16/05/42,0
17/05/42,0
18/05/42,0
19/05/42,0
20/05/42,0
21/05/42,0
22/05/42,0
23/05/42,0
24/05/42,0
25/05/42,0
26/05/42,0
27/05/42,0
28/05/42,0
29/05/42,0
30/05/42,0
31/05/42,0
01/06/42,0
02/06/42,0
03/06/42,0
04/06/42,0
05/06/42,0
06/06/42,0
07/06/42,0
08/06/42,0
09/06/42,0
10/06/42,0
11/06/42,0
12/06/42,0
13/06/42,0
14/06/42,0
15/06/42,0
16/06/42,0
17/06/42,0
18/06/42,0
19/06/42,0
20/06/42,0
21/06/42,0
22/06/42,0
23/06/42,0
24/06/42,0
25/06/42,0
26/06/42,0
27/06/42,0
28/06/42,0
29/06/42,0
30/06/42,0
01/07/42,0
02/07/42,0
03/07/42,0
04/07/42,0
05/07/42,4
06/07/42,0
07/07/42,0
08/07/42,0
09/07/42,0
10/07/42,0
11/07/42,0
12/07/42,0
13/07/42,0
14/07/42,0
15/07/42,0
16/07/42,0
17/07/42,0
18/07/42,0
19/07/42,0
20/07/42,0
21/07/42,0
22/07/42,0
23/07/42,0
24/07/42,0
25/07/42,0
26/07/42,0
27/07/42,0
28/07/42,0
29/07/42,0
30/07/42,0
31/07/42,0
01/08/42,2
02/08/42,0
03/08/42,0
04/08/42,0
05/08/42,0
06/08/42,0
07/08/42,0
08/08/42,0
09/08/42,0
10/08/42,0
11/08/42,0
12/08/42,0
13/08/42,0
14/08/42,0
15/08/42,0
16/08/42,0
17/08/42,0
18/08/42,0
19/08/42,0
20/08/42,0
21/08/42,0
22/08/42,0
23/08/42,0
24/08/42,0
25/08/42,0
26/08/42,0
27/08/42,0
28/08/42,0
29/08/42,0
30/08/42,0
31/08/42,0
01/09/42,0
02/09/42,0
03/09/42,0
04/09/42,0
05/09/42,0
06/09/42,0
07/09/42,0
08/09/42,0
09/09/42,0
10/09/42,0
11/09/42,0
12/09/42,0
13/09/42,0
14/09/42,0
15/09/42,0
16/09/42,0
17/09/42,22
18/09/42,0
19/09/42,15
20/09/42,0
21/09/42,0
22/09/42,0
23/09/42,0
24/09/42,0
25/09/42,0
26/09/42,0
27/09/42,0
28/09/42,0
29/09/42,0
30/09/42,0
01/10/42,0
02/10/42,0
03/10/42,0.1
04/10/42,0
05/10/42,0
06/10/42,0
07/10/42,0
08/10/42,0
09/10/42,0
10/10/42,0
11/10/42,0
12/10/42,0
13/10/42,0
14/10/42,0.6
15/10/42,0.1
16/10/42,25.8
17/10/42,0.6
18/10/42,0
19/10/42,0
20/10/42,0
21/10/42,0
22/10/42,0
23/10/42,0
24/10/42,0
25/10/42,0
26/10/42,1.5
27/10/42,0
28/10/42,0
29/10/42,56
30/10/42,0
31/10/42,0
01/11/42,9
02/11/42,0
03/11/42,0
04/11/42,0
05/11/42,0
06/11/42,0
07/11/42,0
08/11/42,0
09/11/42,7.5
10/11/42,0
11/11/42,0
12/11/42,0
13/11/42,0
14/11/42,38
15/11/42,0
16/11/42,0
17/11/42,7.8
18/11/42,0
19/11/42,0
20/11/42,16.8
21/11/42,0
22/11/42,0
23/11/42,0
24/11/42,0
25/11/42,39.5
26/11/42,27.8
27/11/42,56.9
28/11/42,11.8
29/11/42,0
30/11/42,0
01/12/42,0
02/12/42,0
03/12/42,9.6
04/12/42,0
05/12/42,0
06/12/42,0
07/12/42,0
08/12/42,0
09/12/42,0
10/12/42,0
11/12/42,13
12/12/42,0
13/12/42,0
14/12/42,51
15/12/42,0
16/12/42,0
17/12/42,5.8
18/12/42,17
19/12/42,0
20/12/42,0
21/12/42,19
22/12/42,7
23/12/42,21
24/12/42,0
25/12/42,4
26/12/42,5.5
27/12/42,0
28/12/42,0
29/12/42,0
30/12/42,7
31/12/42,0
01/01/43,12
02/01/43,0
03/01/43,0
04/01/43,0
05/01/43,44
06/01/43,0
07/01/43,26.7
08/01/43,28.7
09/01/43,5.7
10/01/43,1.4
11/01/43,0.8
12/01/43,0
13/01/43,0
14/01/43,9
15/01/43,9
16/01/43,0
17/01/43,0
18/01/43,0.6
19/01/43,33
20/01/43,64.5
21/01/43,7.5
22/01/43,23
23/01/43,12
24/01/43,0
25/01/43,19.5
26/01/43,0
27/01/43,0
28/01/43,0
29/01/43,8.4
30/01/43,0
31/01/43,0
01/02/43,26.6
02/02/43,21
03/02/43,0
04/02/43,0
05/02/43,0
06/02/43,0
07/02/43,0
08/02/43,0
09/02/43,0
10/02/43,0
11/02/43,0
12/02/43,22
13/02/43,0.8
14/02/43,18
15/02/43,74
16/02/43,64
17/02/43,23
18/02/43,25
19/02/43,0
20/02/43,11
21/02/43,8
22/02/43,14
23/02/43,17
24/02/43,0
25/02/43,0
26/02/43,0.5
27/02/43,0
28/02/43,0
01/03/43,28.2
02/03/43,0
03/03/43,0
04/03/43,0
05/03/43,0
06/03/43,0
07/03/43,37
08/03/43,19
09/03/43,17
10/03/43,0
11/03/43,23
12/03/43,11
13/03/43,22
14/03/43,23
15/03/43,18
16/03/43,21.7
17/03/43,0
18/03/43,0
19/03/43,0
20/03/43,0
21/03/43,0
22/03/43,0
23/03/43,0
24/03/43,49
25/03/43,0
26/03/43,0
27/03/43,23.8
28/03/43,17
29/03/43,12
30/03/43,0
31/03/43,0
01/04/43,0
02/04/43,0
03/04/43,0
04/04/43,0
05/04/43,0
06/04/43,0
07/04/43,0
08/04/43,0
09/04/43,0
10/04/43,0
11/04/43,0
12/04/43,0
13/04/43,0
14/04/43,0
15/04/43,0
16/04/43,22
17/04/43,0
18/04/43,0
19/04/43,0
20/04/43,0
21/04/43,0
22/04/43,0
23/04/43,0
24/04/43,0
25/04/43,0
26/04/43,0
27/04/43,0
28/04/43,0
29/04/43,0
30/04/43,0
01/05/43,0.8
02/05/43,0
03/05/43,0
04/05/43,0
05/05/43,0
06/05/43,0
07/05/43,0
08/05/43,0
09/05/43,0
10/05/43,0.6
11/05/43,0
12/05/43,0
13/05/43,0
14/05/43,0
15/05/43,0
16/05/43,0
17/05/43,0
18/05/43,0
19/05/43,0
20/05/43,0
21/05/43,0
22/05/43,0
23/05/43,0
24/05/43,0
25/05/43,0
26/05/43,0
27/05/43,0
28/05/43,0
29/05/43,0
30/05/43,0
31/05/43,0
01/06/43,0
02/06/43,0
03/06/43,0
04/06/43,0
05/06/43,0
06/06/43,0
07/06/43,0
08/06/43,28
09/06/43,0
10/06/43,0
11/06/43,0
12/06/43,0
13/06/43,0
14/06/43,0
15/06/43,0
16/06/43,0
17/06/43,0
18/06/43,0
19/06/43,0
20/06/43,0
21/06/43,0
22/06/43,0
23/06/43,0
24/06/43,0
25/06/43,0
26/06/43,0
27/06/43,0
28/06/43,0
29/06/43,0
