Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  01/1942;  0.0; 12.0;  0.0; 30.0;  0.0;  0.0; 12.0;  0.0;  0.0; 12.0;  0.6;  0.0;  0.0;  0.0;  0.0;  0.0; 18.9; 24.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 20.2;  0.0;  0.0;0.0;0.0;32.0;32.0;161.7
  02/1942; 23.0; 24.0;  1.0; 21.7;  0.0;  0.0;  0.0;  0.0; 38.5; 31.3;  7.6;  0.0;  0.0;  0.0; 11.2;  0.0;  0.8;  0.7; 11.0;  0.0;  0.0;  6.0; 10.7;  0.0;  0.0;  0.0;  0.0;  0.0;---;---;---;38.5;187.5
  03/1942; 25.0;  5.7; 11.0; 35.2; 28.7; 44.0; 75.0;  0.8; 22.0; 31.0; 34.0; 14.0;  0.0;  0.0;  0.0;  0.0;  6.0;  0.0;  0.0;  0.0; 20.4; 28.0; 38.6;  0.0;  0.0; 18.0;  0.0;  0.0;0.0;0.0;21.0;75.0;458.4
  04/1942; 25.0;  0.0;  0.0;  0.0; 26.0; 11.6;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 42.4;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 22.2;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;42.4;127.2
  05/1942;  0.0;  0.0;  0.0;  0.0;  0.0; 52.0; 14.7;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;52.0;66.7
  06/1942;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;0.0;0.0
  07/1942;  0.0;  0.0;  0.0;  0.0;  4.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;4.0;4.0
  08/1942;  2.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;0.0;2.0;2.0
  09/1942;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 22.0;  0.0; 15.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;0.0;0.0;---;22.0;37.0
  10/1942;  0.0;  0.0;  0.1;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.6;  0.1; 25.8;  0.6;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  1.5;  0.0;  0.0;56.0;0.0;0.0;56.0;84.7
